,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
215,120,475,0.0011756,1.3647233474544446e-09,1.084090421781777e-07,inf,
216,130,475,0.00127366,1.822232141760461e-09,3.497906145456072e-07,inf,
217,140,475,0.00137262,2.4073334635061166e-09,1.0616637372419848e-06,903013.9999999998,0.002267510303931021
218,150,475,0.00147291,3.153150224422278e-09,3.057133882338791e-06,320817.0000000001,0.001031407306902121
219,160,475,0.00157447,4.096951734609425e-09,8.392726276532764e-06,118056.00000000003,0.0004881550523177522
220,170,475,0.00167732,5.284166886677155e-09,2.2052155261475705e-05,45142.0,0.00023962133514942178
221,180,475,0.00178142,6.7684371356394135e-09,5.555579614844651e-05,17958.999999999985,0.00012183134082992845
222,190,475,0.0018868,8.614720644267566e-09,0.000133970360718975,7456.0,6.430318316704669e-05
223,200,475,0.00199346,1.089993856189261e-08,0.000305989589781525,3266.0000000000027,3.562192612394138e-05
224,210,475,0.00210152,1.3718779414590956e-08,0.000680344924563,1470.0,2.016444735499838e-05
225,220,475,0.0022112,1.7188981656859515e-08,0.00137474117826375,728.0000000000001,1.2503431139357153e-05
226,230,475,0.00232282,4.993901607967815e-07,0.00238517923047705,417.99999999999875,0.00020937217397155536
227,240,475,0.00243687,6.046114663422162e-07,0.0032631810177231003,305.9999999999992,0.00018528284611194713
228,250,475,0.00255315,7.295286725756057e-07,0.00341295279187065,292.0000000000002,0.00021375293391496012
229,260,475,0.00267104,8.765881529459221e-07,0.0030843763941113995,323.00000000000136,0.0002842027174826906
230,270,475,0.00279023,1.0486814448923274e-06,0.00277114099155795,358.99999999999943,0.0003784294801625208
231,280,475,0.00291089,1.2497073711314104e-06,0.0025786399229619753,385.0000000000002,0.00048463818465042767
232,290,475,0.00303326,1.484326244805809e-06,0.002460182223798675,401.99999999999886,0.0006033399601245458
233,300,475,0.00315748,1.757767676818262e-06,0.0023728236613509,416.0000000000013,0.0007407915326575625
234,50,500,0.00050489,1.1416423311297509e-10,1.3881766147373406e-11,inf,
235,60,500,0.00060039,1.7442529716526873e-10,1.0021192632305683e-10,inf,
236,70,500,0.00069649,2.596961718728458e-10,5.847610269628928e-10,inf,
237,80,500,0.00079311,3.776879161991155e-10,2.893581263262782e-09,inf,
238,90,500,0.00089019,5.378697195248524e-10,1.254626668284904e-08,inf,
239,100,500,0.0009877,7.517905137854816e-10,4.8793751762792434e-08,inf,
240,110,500,0.00108587,1.0342212948761817e-09,1.7332367500074246e-07,inf,
241,120,500,0.00118531,1.4052358570124858e-09,5.712093194342619e-07,inf,
242,130,500,0.00128605,1.888210263865387e-09,1.7645500646838613e-06,555424.9999999995,0.001070080300727359
243,140,500,0.00138807,2.5114826195906037e-09,5.1468441316534695e-06,192510.0,0.0004879655484697508
244,150,500,0.00149135,3.309405683513555e-09,1.4252773117242976e-05,69853.99999999994,0.00023219380932331285
245,160,500,0.00159587,4.323413628834134e-09,3.762342594154179e-05,26521.999999999993,0.00011491281085225283
246,170,500,0.00170164,5.603649240984791e-09,9.4753274944425e-05,10541.999999999996,5.913937269473231e-05
247,180,500,0.00180867,7.210340845871592e-09,0.000226332029057025,4416.000000000002,3.185735963183065e-05
248,190,500,0.00191703,9.216818437982113e-09,0.00050460266173545,1981.9999999999993,1.826549706710475e-05
249,200,500,0.00202689,2.9308583062705357e-07,0.001095772564059375,908.0000000000013,0.00026746958286790303
250,210,500,0.00213871,3.608901742624492e-07,0.00202149273470685,494.0000000000002,0.00017852657497420302
251,220,500,0.00225314,4.4270907616157816e-07,0.002955769872873825,337.999999999999,0.00014977792426415886
252,230,500,0.0023702,5.411491248581031e-07,0.00322966525095045,308.99999999999886,0.0001675557938083056
253,240,500,0.002489,6.582864653192776e-07,0.002940180511542375,339.00000000000125,0.00022389321428906085
254,250,500,0.00260909,7.966016850276228e-07,0.002613888655102425,380.9999999999984,0.0003047573137718095
255,260,500,0.00273063,9.595178386486462e-07,0.0024081940512744,412.9999999999984,0.00039843875460986037
256,270,500,0.00285384,1.1511063851330755e-06,0.0022833576062091,433.99999999999875,0.0005041288241504043
257,280,500,0.00297885,1.3759664913759278e-06,0.0021938105330642247,451.0000000000009,0.0006272038859500022
258,290,500,0.00310575,1.6393311880266417e-06,0.0021159239858699248,465.9999999999985,0.00077475901732484
259,300,500,0.00323458,1.947090276498824e-06,0.00203981728590285,481.9999999999985,0.0009545415121026469
260,50,525,0.00050843,1.1603452936704066e-10,1.0361195217835087e-10,inf,
261,60,525,0.00060461,1.7760320621394958e-10,6.8947375955258e-10,inf,
262,70,525,0.0007014,2.6484341962181744e-10,3.7388722785959616e-09,inf,
263,80,525,0.00079877,3.85784932955292e-10,1.730824866492403e-08,inf,
264,90,525,0.00089725,5.514283457858452e-10,7.079763236839996e-08,inf,
265,100,525,0.00099709,7.756636147748166e-10,2.6205811514463775e-07,inf,
266,110,525,0.00109822,1.0752864631325639e-09,8.914089192995394e-07,inf,
